Run_No,Batch_ID,Design_Type,Syn_Wax_Pct,Dimethicone_Pct,Fill_Temp_C,Prior_Hardness_Mean_gf,Prior_Hardness_SD_gf,Prior_Transfer_Index_Mean,Prior_Thermal_Trans_Mean_C,Prior_Tribology_CoF_Mean,Prior_Risk_Classification
01,GS40-P001,Vertex_HighSyn_HighDim,15.0,22.0,80.0,785.4,48.85,0.043,62.63,0.158,LOW (Nominal Core)
02,GS40-P002,Vertex_HighSyn_LowDim_Tmin,15.0,12.0,75.0,810.77,50.43,0.049,62.38,0.151,LOW (Nominal Core)
03,GS40-P003,Vertex_LowSyn_HighDim_Tmax,9.0,22.0,85.0,711.25,44.24,0.049,60.66,0.147,MEDIUM (Boundary Probe)
04,GS40-P004,Vertex_LowSyn_LowDim,9.0,12.0,80.0,736.63,45.82,0.054,60.41,0.14,MEDIUM (Boundary Probe)
05,GS40-P005,Axial_WaxMax,15.0,17.0,75.0,789.33,49.1,0.047,62.38,0.154,LOW (Nominal Core)
06,GS40-P006,Axial_WaxMin,9.0,17.0,85.0,732.7,45.57,0.051,60.66,0.144,MEDIUM (Boundary Probe)
07,GS40-P007,Axial_SilMax,12.0,22.0,75.0,722.05,44.91,0.048,61.27,0.153,MEDIUM (Boundary Probe)
08,GS40-P008,Axial_SilMin,12.0,12.0,85.0,799.94,49.76,0.049,61.77,0.145,LOW (Nominal Core)
09,GS40-P009,Axial_TempMin,12.0,17.0,75.0,743.49,46.25,0.05,61.27,0.149,MEDIUM (Boundary Probe)
10,GS40-P010,Axial_TempMax,12.0,17.0,85.0,778.51,48.42,0.047,61.77,0.149,LOW (Nominal Core)
11,GS40-P011,Interior_Low,10.5,14.5,80.0,748.81,46.58,0.052,60.96,0.145,MEDIUM (Boundary Probe)
12,GS40-P012,Interior_High,13.5,19.5,80.0,773.19,48.09,0.046,62.07,0.153,LOW (Nominal Core)
13,GS40-P013,Centroid_Replicate_1,12.0,17.0,80.0,761.0,47.33,0.049,61.52,0.149,LOW (Centroid Calibration)
14,GS40-P014,Centroid_Replicate_2,12.0,17.0,80.0,761.0,47.33,0.049,61.52,0.149,LOW (Centroid Calibration)
15,GS40-P015,Centroid_Replicate_3,12.0,17.0,80.0,761.0,47.33,0.049,61.52,0.149,LOW (Centroid Calibration)
16,GS40-P016,Centroid_Replicate_4,12.0,17.0,80.0,761.0,47.33,0.049,61.52,0.149,LOW (Centroid Calibration)
17,GS40-P017,Supplemental_Temp_78C,12.0,17.0,78.0,754.0,46.9,0.049,61.42,0.149,LOW (Nominal Core)
18,GS40-P018,Supplemental_Temp_82C,12.0,17.0,82.0,768.0,47.77,0.048,61.62,0.149,LOW (Nominal Core)
