Run_No,Batch_ID,Execution_Order,Target_Fill_Temp_C,Actual_Melt_Temp_C,Actual_Fill_Temp_C,Mixing_Speed_RPM,Mixing_Duration_Min,Homogenizer_Shear_RPM,Mold_Preheat_Temp_C,Cooling_Method,Estimated_Cooling_Rate_C_min,Cooling_Duration_Min,Demold_Temp_C,Ambient_Room_Temp_C,Ambient_RH_Pct,Operator_ID,Process_Deviations,QC_Release_Status
01,GS40-P001,14,80.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
02,GS40-P002,13,75.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
03,GS40-P003,05,85.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
04,GS40-P004,10,80.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
05,GS40-P005,06,75.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
06,GS40-P006,08,85.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
07,GS40-P007,17,75.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
08,GS40-P008,07,85.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
09,GS40-P009,11,75.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
10,GS40-P010,16,85.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
11,GS40-P011,02,80.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
12,GS40-P012,12,80.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
13,GS40-P013,03,80.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
14,GS40-P014,15,80.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
15,GS40-P015,18,80.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
16,GS40-P016,09,80.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
17,GS40-P017,01,78.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
18,GS40-P018,04,82.0,,,,600,25,2500,45.0,Controlled_Chamber_10C,2.5,45,20.0,22.0,45.0,,PLANNED,PENDING_EXECUTION
