batch_id,design_type,group_id,fold_id,actual_hardness_gf,oof_predicted_hardness_gf,residual_gf,abs_error_gf,conformal_pi_lower_gf,conformal_pi_upper_gf,conformal_pi_width_gf,pi_covered
GS40-P001,Vertex_HighSyn_HighDim,GRP_VERTEX,2,785.40,736.23,49.17,49.17,733.72,738.75,5.03,False
GS40-P002,Vertex_HighSyn_LowDim_Tmin,GRP_VERTEX,2,810.77,790.80,19.97,19.97,788.28,793.32,5.03,False
GS40-P003,Vertex_LowSyn_HighDim_Tmax,GRP_VERTEX,2,711.25,725.23,-13.98,13.98,722.72,727.75,5.03,False
GS40-P004,Vertex_LowSyn_LowDim,GRP_VERTEX,2,736.63,779.82,-43.19,43.19,777.30,782.33,5.03,False
GS40-P005,Axial_WaxMax,GRP_AXIAL,1,789.33,799.10,-9.77,9.77,799.05,799.15,0.10,False
GS40-P006,Axial_WaxMin,GRP_AXIAL,1,732.70,729.55,3.15,3.15,729.50,729.60,0.10,False
GS40-P007,Axial_SilMax,GRP_AXIAL,1,722.05,754.79,-32.74,32.74,754.74,754.84,0.10,False
GS40-P008,Axial_SilMin,GRP_AXIAL,1,799.94,760.25,39.69,39.69,760.19,760.30,0.10,False
GS40-P009,Axial_TempMin,GRP_AXIAL,1,743.49,757.46,-13.97,13.97,757.41,757.51,0.10,False
GS40-P010,Axial_TempMax,GRP_AXIAL,1,778.51,765.16,13.35,13.35,765.11,765.21,0.10,False
GS40-P011,Interior_Low,GRP_PROBE,3,748.81,757.73,-8.92,8.92,757.73,757.73,0.00,False
GS40-P012,Interior_High,GRP_PROBE,3,773.19,768.06,5.13,5.13,768.06,768.06,0.00,False
GS40-P013,Centroid_Replicate_1,GRP_CENTROID,4,761.00,760.98,0.02,0.02,760.23,761.73,1.49,True
GS40-P014,Centroid_Replicate_2,GRP_CENTROID,4,761.00,760.98,0.02,0.02,760.23,761.73,1.49,True
GS40-P015,Centroid_Replicate_3,GRP_CENTROID,4,761.00,760.98,0.02,0.02,760.23,761.73,1.49,True
GS40-P016,Centroid_Replicate_4,GRP_CENTROID,4,761.00,760.98,0.02,0.02,760.23,761.73,1.49,True
GS40-P017,Supplemental_Temp_78C,GRP_PROBE,3,754.00,754.17,-0.17,0.17,754.17,754.17,0.00,False
GS40-P018,Supplemental_Temp_82C,GRP_PROBE,3,768.00,769.40,-1.40,1.40,769.40,769.40,0.00,False
