Run_No,Batch_ID,DOE_Trial_ID,Execution_Order,Design_Type,Syn_Wax_Pct,Dimethicone_Pct,Fill_Temp_C,Prior_Hardness_gf,Prior_Transfer_g,Prior_Drop_Point_C,Mahalanobis_Distance_DM,Euclidean_Distance_DE,dHardness_dWax_gf_per_pct,dHardness_dSil_gf_per_pct,dHardness_dTemp_gf_per_C,Hardness_In_Brand_Spec,Transfer_In_Brand_Spec,Drop_Point_In_Brand_Spec
01,GS40-P001,DOE-EXP-001,14,Vertex_HighSyn_HighDim,15.0,22.0,80.0,785.40,0.0430,62.63,2.4098,5.8310,8.13,4.88,1.82,TRUE,TRUE,TRUE
02,GS40-P002,DOE-EXP-002,13,Vertex_HighSyn_LowDim_Tmin,15.0,12.0,75.0,810.77,0.0490,62.38,2.4474,7.6811,16.59,-9.95,-9.95,TRUE,TRUE,TRUE
03,GS40-P003,DOE-EXP-003,05,Vertex_LowSyn_HighDim_Tmax,9.0,22.0,85.0,711.25,0.0490,60.66,2.4474,7.6811,16.58,-9.95,-9.95,TRUE,TRUE,TRUE
04,GS40-P004,DOE-EXP-004,10,Vertex_LowSyn_LowDim,9.0,12.0,80.0,736.63,0.0540,60.41,2.4098,5.8310,8.12,4.87,1.82,TRUE,TRUE,TRUE
05,GS40-P005,DOE-EXP-005,06,Axial_WaxMax,15.0,17.0,75.0,789.33,0.0470,62.38,1.7473,5.8310,9.44,-8.45,-5.67,TRUE,TRUE,TRUE
06,GS40-P006,DOE-EXP-006,08,Axial_WaxMin,9.0,17.0,85.0,732.70,0.0510,60.66,1.7473,5.8310,9.43,-8.45,-5.66,TRUE,TRUE,TRUE
07,GS40-P007,DOE-EXP-007,17,Axial_SilMax,12.0,22.0,75.0,722.05,0.0480,61.27,2.4132,7.0711,12.35,-7.79,7.79,TRUE,TRUE,TRUE
08,GS40-P008,DOE-EXP-008,07,Axial_SilMin,12.0,12.0,85.0,799.94,0.0490,61.77,2.4132,7.0711,12.35,-7.79,7.79,TRUE,TRUE,TRUE
09,GS40-P009,DOE-EXP-009,11,Axial_TempMin,12.0,17.0,75.0,743.49,0.0500,61.27,1.7056,5.0000,12.35,-8.45,3.50,TRUE,TRUE,TRUE
10,GS40-P010,DOE-EXP-010,16,Axial_TempMax,12.0,17.0,85.0,778.51,0.0470,61.77,1.7056,5.0000,12.35,-8.45,3.50,TRUE,TRUE,TRUE
11,GS40-P011,DOE-EXP-011,02,Interior_Low,10.5,14.5,80.0,748.81,0.0520,60.96,1.2049,2.9155,8.13,4.88,1.82,TRUE,TRUE,TRUE
12,GS40-P012,DOE-EXP-012,12,Interior_High,13.5,19.5,80.0,773.19,0.0460,62.07,1.2049,2.9155,8.13,4.88,1.82,TRUE,TRUE,TRUE
13,GS40-P013,DOE-EXP-013,03,Centroid_Replicate_1,12.0,17.0,80.0,761.00,0.0490,61.52,0.0000,0.0000,12.35,-8.45,1.82,TRUE,TRUE,TRUE
14,GS40-P014,DOE-EXP-014,15,Centroid_Replicate_2,12.0,17.0,80.0,761.00,0.0490,61.52,0.0000,0.0000,12.35,-8.45,1.82,TRUE,TRUE,TRUE
15,GS40-P015,DOE-EXP-015,18,Centroid_Replicate_3,12.0,17.0,80.0,761.00,0.0490,61.52,0.0000,0.0000,12.35,-8.45,1.82,TRUE,TRUE,TRUE
16,GS40-P016,DOE-EXP-016,09,Centroid_Replicate_4,12.0,17.0,80.0,761.00,0.0490,61.52,0.0000,0.0000,12.35,-8.45,1.82,TRUE,TRUE,TRUE
17,GS40-P017,DOE-EXP-017,01,Supplemental_Temp_78C,12.0,17.0,78.0,754.00,0.0490,61.42,0.6822,2.0000,12.35,-8.45,3.50,TRUE,TRUE,TRUE
18,GS40-P018,DOE-EXP-018,04,Supplemental_Temp_82C,12.0,17.0,82.0,768.00,0.0480,61.62,0.6822,2.0000,12.35,-8.45,3.50,TRUE,TRUE,TRUE
