material_id,inci_name,trade_name,supplier,grade,material_class,active_pct,carrier_solvent,melting_point_min_c,melting_point_max_c,drop_point_c,crystallization_enthalpy_j_g,cooling_behavior,viscosity_25c_cst,density_g_cm3,d50_particle_size_um,surface_area_bet_m2_g,oil_absorption_ml_100g,yield_stress_contribution_pa,neat_dynamic_cof,qc_test_standard,status
MAT-WAX-SYN-01,Synthetic Wax,Cirebelle 108 / Sasolwax,Sasol / Cirebelle,Cosmetic Grade Fischer-Tropsch,Wax,100.0,None,82.0,88.0,85.0,195.0,Rapid_Crystalline_Spherulites,None,0.92,None,None,None,None,0.22,ASTM D127,SPEC_LOCKED
MAT-WAX-CAN-01,Euphorbia Cerifera (Candelilla) Wax,Candelilla Wax Light Refined,Koster Keunen / Strahl & Pitsch,Deodorized Flakes,Wax,100.0,None,68.5,72.5,70.0,142.0,Intermediate_Needle_Microcrystals,None,0.98,None,None,None,None,0.26,ASTM D127,SPEC_LOCKED
MAT-WAX-PEG8-01,PEG-8 Beeswax,Apifil,Gattefossé,Self-emulsifying Wax,Wax,100.0,None,59.0,65.0,61.0,88.0,Amorphous_Plastic_Waxy,None,0.96,None,None,None,None,0.24,USP/NF,SPEC_LOCKED
MAT-SIL-DIM-01,Dimethicone,Xiameter PMX-200 100 cSt,Dow Corning / Dowsil,Linear Polydimethylsiloxane,Silicone_Fluid,100.0,None,None,None,None,None,Non_Crystallizing_Liquid,100.0,0.965,None,None,None,None,0.20,ASTM D445,SPEC_LOCKED
MAT-SIL-CAP-01,Caprylyl Methicone,Dowsil FZ-3196,Dow Corning / Dowsil,Volatile-feel Alkyl Methicone,Silicone_Fluid,100.0,None,None,None,None,None,Non_Crystallizing_Liquid,3.0,0.835,None,None,None,None,0.18,ASTM D445,SPEC_LOCKED
MAT-RES-MQ-01,Trimethylsiloxysilicate (and) Dimethicone,Dowsil MQ-1600 / Belsil TMS 803,Dow / Wacker,Silicone MQ Resin Solution,Resin_Polymer,60.0,Dimethicone (100 cSt),None,None,None,None,Glassy_Polymer_Film,500.0,1.04,None,None,None,None,0.32,GPC / Solids,SPEC_LOCKED
MAT-EMO-AB-01,C12-15 Alkyl Benzoate,Finsolv TN,Innospec,Cosmetic Ester,Ester_Oil,100.0,None,None,None,None,None,Non_Crystallizing_Liquid,15.0,0.96,None,None,None,None,0.28,USP,SPEC_LOCKED
MAT-POW-SIL-01,Silica,Sunsphere L-51 / Aerosil,Asahi Glass / Evonik,Spherical Porous Silica,Particulate_Powder,100.0,None,None,None,None,None,Particulate_Inert,None,2.20,5.0,350.0,150.0,2.1,0.252,Laser Diffraction,SPEC_LOCKED
MAT-POW-FUM-01,Silica Dimethyl Silylate,Aerosil R 972,Evonik,Hydrophobic Fumed Silica,Particulate_Powder,100.0,None,None,None,None,None,Particulate_Inert,None,2.20,0.02,110.0,280.0,28.5,0.345,BET Specific Surface,SPEC_LOCKED
MAT-POW-PMSSQ-01,Polymethylsilsesquioxane,Tospearl 145A / KMP-590,Momentive / Shin-Etsu,Spherical Silicone Powder,Particulate_Powder,100.0,None,None,None,None,None,Particulate_Inert,None,1.32,4.5,25.0,45.0,0.5,0.155,Laser Diffraction,SPEC_LOCKED
MAT-POW-STA-01,Aluminum Starch Octenylsuccinate,Dry-Flo Plus,Ingredion,Modified Starch,Particulate_Powder,100.0,None,None,None,None,None,Particulate_Inert,None,1.45,15.0,2.0,75.0,1.2,0.235,Sieve Analysis,SPEC_LOCKED
MAT-POW-BN-01,Boron Nitride,Tres BN PUHP3002,Saint-Gobain,Platelet Hexagonal h-BN,Particulate_Powder,100.0,None,None,None,None,None,Particulate_Inert,None,2.25,6.0,4.5,65.0,0.8,0.138,Laser Diffraction,SPEC_LOCKED
MAT-POW-ZNO-01,Zinc Oxide (and) Triethoxycaprylylsilane,Z-Cote HP1,BASF,Silane-treated Mineral,Active_Powder,96.0,None,None,None,None,None,Particulate_Inert,None,5.60,0.20,18.0,30.0,0.4,0.268,XRF / Assay,SPEC_LOCKED
MAT-PRE-EHG-01,Ethylhexylglycerin,Sensiva SC 50,Schülke & Mayr,Preservative Booster,Additive,100.0,None,None,None,None,None,Non_Crystallizing_Liquid,140.0,0.962,None,None,None,None,0.35,GC / HPLC,SPEC_LOCKED
MAT-ACT-BLN-01,Bisabolol (and) Stearyl Glycyrrhetinate,Soothing Active Complex,Symrise / Maruzen,Supercritical Plant Extract,Active_Blend,100.0,None,None,None,None,None,Non_Crystallizing_Liquid,50.0,0.95,None,None,None,None,0.30,HPLC Assay,SPEC_LOCKED
