candidate_id,assigned_zone,syn_wax_pct,can_wax_pct,dimethicone_pct,caprylyl_pct,mq_resin_pct,porous_silica_pct,fumed_silica_pct,pmssq_pct,boron_nitride_pct,zinc_oxide_pct,fill_temp_c,pred_hardness_gf,hardness_pi_lower,hardness_pi_upper,hardness_pi_width,pred_transfer_g,pred_drop_point_c,sedimentation_risk,composite_ood_score,ood_category,ensemble_cv_pct,box_violations
GS40-VIRT-0400160,Zone A: Target Sweet Spot,13.12,3.88,16.52,11.48,2.0,10.0,2.0,8.0,3.0,5.0,81.0,778.7,774.3,783.1,8.8,0.0481,61.96,0.492,0.338,IN_DOMAIN,0.58,0
GS40-VIRT-0002566,Zone A: Target Sweet Spot,11.77,5.23,17.76,10.24,2.0,10.0,2.0,8.0,3.0,5.0,81.6,759.6,757.5,761.7,4.2,0.0483,61.55,0.499,0.149,IN_DOMAIN,0.21,0
GS40-VIRT-0402819,Zone A: Target Sweet Spot,14.72,2.28,16.96,11.04,2.0,10.0,2.0,8.0,3.0,5.0,75.6,786.1,783.2,788.9,5.7,0.0474,62.31,0.427,0.42,IN_DOMAIN,0.33,0
GS40-VIRT-0201022,Zone A: Target Sweet Spot,13.51,3.49,17.01,10.99,2.0,10.0,2.0,8.0,3.0,5.0,79.0,774.1,769.0,779.2,10.1,0.0481,62.07,0.468,0.32,IN_DOMAIN,0.69,0
GS40-VIRT-0203276,Zone A: Target Sweet Spot,13.54,3.46,15.01,12.99,2.0,10.0,2.0,8.0,3.0,5.0,81.1,786.4,778.5,794.3,15.8,0.0481,62.11,0.493,0.447,IN_DOMAIN,1.12,0
GS40-VIRT-0001736,Zone A: Target Sweet Spot,14.22,2.78,13.11,14.89,2.0,10.0,2.0,8.0,3.0,5.0,76.4,796.4,792.2,800.6,8.4,0.049,62.14,0.437,0.548,IN_DOMAIN,0.53,0
GS40-VIRT-0000400,Zone A: Target Sweet Spot,12.1,4.9,15.13,12.87,2.0,10.0,2.0,8.0,3.0,5.0,81.9,773.1,769.8,776.5,6.7,0.0487,61.62,0.502,0.317,IN_DOMAIN,0.41,0
GS40-VIRT-0401174,Zone A: Target Sweet Spot,12.63,4.37,15.38,12.62,2.0,10.0,2.0,8.0,3.0,5.0,84.1,783.8,777.5,790.0,12.5,0.0479,61.83,0.529,0.425,IN_DOMAIN,0.86,0
GS40-VIRT-0002935,Zone A: Target Sweet Spot,13.67,3.33,16.22,11.78,2.0,10.0,2.0,8.0,3.0,5.0,80.1,781.8,775.4,788.2,12.8,0.0482,62.12,0.481,0.412,IN_DOMAIN,0.89,0
GS40-VIRT-0200993,Zone A: Target Sweet Spot,15.14,1.86,15.67,12.33,2.0,10.0,2.0,8.0,3.0,5.0,77.6,793.9,784.3,803.5,19.2,0.0473,62.44,0.451,0.538,IN_DOMAIN,1.38,0
GS40-VIRT-0000216,Zone A: Target Sweet Spot,14.17,2.83,13.33,14.67,2.0,10.0,2.0,8.0,3.0,5.0,75.9,793.0,789.3,796.6,7.3,0.049,62.12,0.431,0.533,IN_DOMAIN,0.45,0
GS40-VIRT-0402941,Zone A: Target Sweet Spot,12.36,4.64,13.82,14.18,2.0,10.0,2.0,8.0,3.0,5.0,81.5,777.4,771.4,783.5,12.1,0.0495,61.67,0.498,0.383,IN_DOMAIN,0.84,0
GS40-VIRT-0401353,Zone A: Target Sweet Spot,14.28,2.72,13.68,14.32,2.0,10.0,2.0,8.0,3.0,5.0,75.8,793.1,788.0,798.2,10.2,0.0489,62.22,0.429,0.542,IN_DOMAIN,0.68,0
GS40-VIRT-0202819,Zone A: Target Sweet Spot,14.75,2.25,14.02,13.98,2.0,10.0,2.0,8.0,3.0,5.0,79.9,802.3,792.0,812.5,20.5,0.0483,62.42,0.479,0.593,IN_DOMAIN,1.47,0
GS40-VIRT-0001320,Zone A: Target Sweet Spot,14.97,2.03,17.47,10.53,2.0,10.0,2.0,8.0,3.0,5.0,76.5,788.5,784.7,792.4,7.7,0.0471,62.39,0.437,0.503,IN_DOMAIN,0.48,0
GS40-VIRT-0002047,Zone A: Target Sweet Spot,12.11,4.89,15.33,12.67,2.0,10.0,2.0,8.0,3.0,5.0,82.3,773.7,770.2,777.3,7.1,0.0486,61.63,0.507,0.356,IN_DOMAIN,0.44,0
GS40-VIRT-0001636,Zone A: Target Sweet Spot,11.88,5.12,13.98,14.02,2.0,10.0,2.0,8.0,3.0,5.0,82.7,776.9,772.8,781.0,8.2,0.0492,61.62,0.513,0.391,IN_DOMAIN,0.53,0
GS40-VIRT-0001046,Zone A: Target Sweet Spot,11.29,5.71,14.23,13.77,2.0,10.0,2.0,8.0,3.0,5.0,83.3,773.5,771.5,775.5,4.0,0.0494,61.49,0.52,0.361,IN_DOMAIN,0.19,0
GS40-VIRT-0201671,Zone A: Target Sweet Spot,11.86,5.14,14.69,13.31,2.0,10.0,2.0,8.0,3.0,5.0,85.2,782.2,778.3,786.1,7.8,0.0487,61.7,0.542,0.45,IN_DOMAIN,0.49,0
GS40-VIRT-0002786,Zone A: Target Sweet Spot,13.84,3.16,15.32,12.68,2.0,10.0,2.0,8.0,3.0,5.0,81.1,787.6,778.5,796.7,18.2,0.0479,62.17,0.493,0.507,IN_DOMAIN,1.32,0
GS40-VIRT-0402395,Zone A: Target Sweet Spot,13.5,3.5,13.54,14.46,2.0,10.0,2.0,8.0,3.0,5.0,80.4,791.0,783.8,798.3,14.5,0.0488,62.07,0.484,0.544,IN_DOMAIN,1.02,0
GS40-VIRT-0401547,Zone A: Target Sweet Spot,13.62,3.38,18.06,9.94,2.0,10.0,2.0,8.0,3.0,5.0,78.5,772.1,768.5,775.7,7.2,0.0471,62.08,0.462,0.356,IN_DOMAIN,0.45,0
GS40-VIRT-0401207,Zone A: Target Sweet Spot,12.65,4.35,16.9,11.1,2.0,10.0,2.0,8.0,3.0,5.0,80.2,766.8,762.0,771.6,9.7,0.0486,61.67,0.483,0.311,IN_DOMAIN,0.65,0
GS40-VIRT-0403319,Zone A: Target Sweet Spot,13.0,4.0,17.0,11.0,2.0,10.0,2.0,8.0,3.0,5.0,77.7,766.8,764.1,769.5,5.4,0.0485,61.85,0.453,0.321,IN_DOMAIN,0.3,0
GS40-VIRT-0201434,Zone A: Target Sweet Spot,12.85,4.15,15.45,12.55,2.0,10.0,2.0,8.0,3.0,5.0,83.4,784.0,777.6,790.5,12.9,0.0479,61.96,0.521,0.495,IN_DOMAIN,0.9,0
GS40-VIRT-0001711,Zone A: Target Sweet Spot,14.51,2.49,13.68,14.32,2.0,10.0,2.0,8.0,3.0,5.0,77.8,798.4,791.6,805.3,13.8,0.0487,62.32,0.453,0.644,IN_DOMAIN,0.95,0
GS40-VIRT-0201169,Zone A: Target Sweet Spot,12.12,4.88,15.65,12.35,2.0,10.0,2.0,8.0,3.0,5.0,83.7,779.1,776.5,781.8,5.3,0.0481,61.72,0.524,0.457,IN_DOMAIN,0.29,0
GS40-VIRT-0400745,Zone A: Target Sweet Spot,12.99,4.01,18.88,9.12,2.0,10.0,2.0,8.0,3.0,5.0,81.6,771.5,768.4,774.5,6.1,0.0469,61.96,0.5,0.381,IN_DOMAIN,0.36,0
GS40-VIRT-0200120,Zone A: Target Sweet Spot,15.66,1.34,17.69,10.31,2.0,10.0,2.0,8.0,3.0,5.0,78.4,795.3,785.7,804.8,19.1,0.0465,62.56,0.461,0.619,IN_DOMAIN,1.37,3
GS40-VIRT-0400393,Zone A: Target Sweet Spot,12.31,4.69,13.52,14.48,2.0,10.0,2.0,8.0,3.0,5.0,78.6,770.9,766.7,775.0,8.3,0.0499,61.52,0.463,0.376,IN_DOMAIN,0.54,0
GS40-VIRT-0000111,Zone A: Target Sweet Spot,12.19,4.81,16.05,11.95,2.0,10.0,2.0,8.0,3.0,5.0,84.4,780.0,776.8,783.1,6.3,0.0479,61.75,0.533,0.471,IN_DOMAIN,0.38,0
GS40-VIRT-0202835,Zone A: Target Sweet Spot,13.62,3.38,17.2,10.8,2.0,10.0,2.0,8.0,3.0,5.0,79.2,776.4,771.8,781.0,9.3,0.0473,62.1,0.471,0.435,IN_DOMAIN,0.61,0
GS40-VIRT-0000296,Zone A: Target Sweet Spot,15.32,1.68,14.02,13.98,2.0,10.0,2.0,8.0,3.0,5.0,74.0,797.3,790.2,804.4,14.2,0.0486,62.38,0.408,0.647,IN_DOMAIN,0.99,4
GS40-VIRT-0001861,Zone A: Target Sweet Spot,13.08,3.92,17.07,10.93,2.0,10.0,2.0,8.0,3.0,5.0,82.6,778.2,772.0,784.4,12.4,0.0476,61.99,0.512,0.457,IN_DOMAIN,0.86,0
GS40-VIRT-0000191,Zone A: Target Sweet Spot,15.56,1.44,14.09,13.91,2.0,10.0,2.0,8.0,3.0,5.0,77.4,802.9,790.9,814.8,23.9,0.0477,62.48,0.448,0.651,IN_DOMAIN,1.73,3
GS40-VIRT-0000315,Zone A: Target Sweet Spot,11.56,5.44,16.31,11.69,2.0,10.0,2.0,8.0,3.0,5.0,79.3,757.3,754.8,759.9,5.1,0.0492,61.4,0.471,0.254,IN_DOMAIN,0.29,0
GS40-VIRT-0200748,Zone A: Target Sweet Spot,15.39,1.61,17.25,10.75,2.0,10.0,2.0,8.0,3.0,5.0,74.4,788.8,784.9,792.7,7.8,0.0472,62.41,0.413,0.572,IN_DOMAIN,0.49,4
GS40-VIRT-0000013,Zone A: Target Sweet Spot,13.51,3.49,17.92,10.08,2.0,10.0,2.0,8.0,3.0,5.0,78.6,771.5,768.2,774.9,6.7,0.0472,62.06,0.463,0.403,IN_DOMAIN,0.41,0
GS40-VIRT-0400343,Zone A: Target Sweet Spot,14.11,2.89,17.93,10.07,2.0,10.0,2.0,8.0,3.0,5.0,81.8,783.4,774.7,792.2,17.4,0.0467,62.24,0.501,0.524,IN_DOMAIN,1.26,0
GS40-VIRT-0000338,Zone A: Target Sweet Spot,14.08,2.92,17.26,10.74,2.0,10.0,2.0,8.0,3.0,5.0,79.6,780.7,773.6,787.8,14.2,0.0471,62.19,0.475,0.503,IN_DOMAIN,1.01,0
GS40-VIRT-0002988,Zone A: Target Sweet Spot,12.84,4.16,14.15,13.85,2.0,10.0,2.0,8.0,3.0,5.0,85.9,793.7,784.5,802.9,18.3,0.048,62.01,0.55,0.638,IN_DOMAIN,1.31,1
GS40-VIRT-0000537,Zone A: Target Sweet Spot,12.68,4.32,16.12,11.88,2.0,10.0,2.0,8.0,3.0,5.0,76.4,761.8,759.8,763.8,4.0,0.0493,61.49,0.436,0.32,IN_DOMAIN,0.2,0
GS40-VIRT-0202538,Zone A: Target Sweet Spot,14.48,2.52,14.46,13.54,2.0,10.0,2.0,8.0,3.0,5.0,76.7,792.3,786.1,798.4,12.3,0.0486,62.28,0.44,0.628,IN_DOMAIN,0.85,0
GS40-VIRT-0002984,Zone A: Target Sweet Spot,13.24,3.76,17.9,10.1,2.0,10.0,2.0,8.0,3.0,5.0,81.0,774.2,769.6,778.7,9.1,0.0471,61.99,0.492,0.456,IN_DOMAIN,0.61,0
GS40-VIRT-0203149,Zone A: Target Sweet Spot,11.03,5.97,15.91,12.09,2.0,10.0,2.0,8.0,3.0,5.0,80.2,753.2,749.6,756.8,7.2,0.0505,61.12,0.482,0.25,IN_DOMAIN,0.46,0
GS40-VIRT-0403607,Zone A: Target Sweet Spot,13.59,3.41,18.91,9.09,2.0,10.0,2.0,8.0,3.0,5.0,78.3,769.8,767.3,772.3,5.0,0.0469,62.07,0.46,0.417,IN_DOMAIN,0.28,0
GS40-VIRT-0400912,Zone A: Target Sweet Spot,15.14,1.86,14.5,13.5,2.0,10.0,2.0,8.0,3.0,5.0,78.2,799.0,788.2,809.8,21.6,0.0475,62.46,0.458,0.714,IN_DOMAIN,1.56,0
GS40-VIRT-0001080,Zone A: Target Sweet Spot,11.34,5.66,17.02,10.98,2.0,10.0,2.0,8.0,3.0,5.0,81.0,759.4,754.4,764.4,10.1,0.0487,61.43,0.492,0.319,IN_DOMAIN,0.7,0
GS40-VIRT-0002126,Zone A: Target Sweet Spot,11.7,5.3,18.52,9.48,2.0,10.0,2.0,8.0,3.0,5.0,79.0,750.3,746.0,754.6,8.6,0.0488,61.41,0.467,0.228,IN_DOMAIN,0.58,0
GS40-VIRT-0202777,Zone A: Target Sweet Spot,12.02,4.98,15.33,12.67,2.0,10.0,2.0,8.0,3.0,5.0,85.0,782.1,778.5,785.7,7.3,0.048,61.74,0.541,0.547,IN_DOMAIN,0.45,0
